Date,Open,High,Low,Close,Adj Close,Volume
2022-03-15,380.450500,380.642334,371.954712,373.144775,373.144775,110743
2022-03-16,373.144775,384.945435,358.734894,370.637054,370.637054,115801
2022-03-17,370.637054,375.054840,368.357727,369.104675,369.104675,66003
2022-03-18,369.104767,369.248779,357.626221,362.476776,362.476776,185983
2022-03-19,362.476776,363.243134,355.482666,355.642761,355.642761,53966
2022-03-20,355.642761,355.642761,313.812378,318.623047,318.623047,94976
2022-03-21,318.623047,336.760284,288.857910,296.339722,296.339722,72263
2022-03-22,296.339722,303.164825,282.214783,286.114197,286.114197,98058
2022-03-23,286.114197,355.058838,282.190247,329.224457,329.224457,209072
2022-03-24,329.224487,350.846497,325.536957,350.262115,350.262115,125943
2022-03-25,350.262115,355.648407,347.792664,352.864929,352.864929,101032
2022-03-26,352.865051,354.175659,350.832703,353.155334,353.155334,107955
2022-03-27,353.155334,357.938110,351.066986,357.050568,357.050568,148359
2022-03-28,357.050537,358.726685,352.436737,355.112091,355.112091,98386
2022-03-29,355.112061,355.112488,348.221954,348.732819,348.732819,97112
2022-03-30,348.732819,348.733032,334.642120,342.944397,342.944397,80618
2022-03-31,342.764771,344.603424,335.239807,339.902740,339.902740,85895
2022-04-01,339.902740,339.902771,315.843048,329.230621,329.230621,61214
2022-04-02,329.230652,344.065430,329.084991,330.276581,330.276581,111028
2022-04-03,330.276581,333.362579,322.067505,326.742828,326.742828,79721
2022-04-04,326.742828,330.407776,300.881317,315.768402,315.768402,85871
2022-04-05,315.920319,322.302307,305.242950,312.293213,312.293213,241987
2022-04-06,312.292969,329.144958,251.222000,299.686554,299.686554,350555
2022-04-07,299.729095,316.422272,272.721466,309.759888,309.759888,112107
2022-04-08,309.759918,314.614197,307.474487,310.794403,310.794403,114148
2022-04-09,310.794403,312.301575,298.431396,302.618683,302.618683,70957
2022-04-10,302.618683,310.570770,295.236511,296.515656,296.515656,60016
2022-04-11,296.515533,296.892212,289.671783,290.576630,290.576630,110583
2022-04-12,290.578369,294.049316,281.075226,286.744476,286.744476,87658
2022-04-13,286.744476,297.853210,285.005402,293.072357,293.072357,88819
2022-04-14,293.072357,295.443451,279.016449,283.716156,283.716156,77937
2022-04-15,283.716156,288.900574,278.021515,279.292908,279.292908,113055
2022-04-16,279.292908,326.207397,244.079132,282.518707,282.518707,268203
2022-04-17,282.518707,282.810913,267.535217,267.751434,267.751434,53516
2022-04-18,267.751465,280.118103,266.788727,271.175201,271.175201,59345
2022-04-19,271.175201,279.347809,262.418549,265.246979,265.246979,70423
